Common Name,Name,CountryCode,NumberActors,MilFatalities,TotalFatalities,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Region,Century,Decade,DurationD,DurationM,DurationY
,"Poland-Crimean Tartars, 1569",,2,,600,1569,,,1569,,,4,2,156,,,0
,"Turkey-Spain, 1569-80",,2,,12000,1569,,,1580,,,3,2,156,,,11
Insurrection in Munster,"England-Munster (southern Ireland), 1569-83",,2,,6000,1569,,,1583,,,3,2,156,,,14
,"China (Gansu), 1569",710,2,,60,1569,4,,1569,4,,12,2,156,,0,0
Turkish War with Venice,"Turkey-Venice, Papal states, 1570-73",,3,38000,38000,1570,1,,1573,3,7,4,2,157,,38,3
,"China (Guangxi), 1571-80",710,2,,8000,1571,,,1580,,,12,2,157,,,9
,"Japan (Kyoto), 1571",740,2,,34000,1571,9,12,1571,9,12,12,2,157,0,0,0
Fourth Huguenot War,"France (Huguenots), 1572-73",,2,,1600,1572,8,22,1573,7,6,3,2,157,314,11,1
Spanish-Turkish War,"Turkey, Barbary states-Spain, pope, emperor, 1572-74",,4,,48000,1572,8,,1574,9,,4,2,157,,25,2
,"China (Guangdong), 1572",710,2,,200,1572,,,1572,,,12,2,157,,,0
,"China (peasants in Guangdong), 1572",710,2,,12661,1572,6,,1572,6,,12,2,157,,0,0
,"China (minority in Guangxi), 1573",710,2,,8000,1573,1,,1573,1,,12,2,157,,0,0
,"China (minority in Sichuan), 1573",710,2,,6136,1573,9,,1573,9,,12,2,157,,0,0
Fifth Huguenot War,"France (Huguenots), 1574-76",,2,,800,1574,2,23,1576,5,6,3,2,157,793,27,2
,"China (Guangdong), 1574",710,2,,1300,1574,3,,1574,3,,12,2,157,,0,0
,"China (Liaoning), 1574",710,2,,1100,1574,10,,1574,10,,12,2,157,,0,0
,"China-Japanese pirates (Zhejiang, Guangdong), 1574",,2,,800,1574,,,1574,,,12,2,157,,,0
,"Poland (Galicia)-Crimean Tartars, 1575-76",,2,,1200,1575,,,1576,,,4,2,157,,,1
,"China (minority in Liaoning and Hebei), 1575-76",710,2,,1060,1575,,,1576,5,,12,2,157,,,1
,"Emperor-Turkey, 1576-83",,2,,16000,1576,,,1583,,,4,2,157,,,7
Sixth Huguenot War,"France (Huguenots), 1577",,2,,800,1577,3,,1577,8,17,3,2,157,,5,0
Livonian War,"Poland-Russia, Livonia, Estonia, 1577-82",,4,,26250,1577,,,1582,1,15,4,2,157,,,5
,"Portugal-Morocco, 1578",,2,,20000,1578,8,4,1578,8,4,6,2,157,0,0,0
,"China (Tartars in Liaoning), 1578-79",710,2,,2180,1578,1,,1579,1,,12,2,157,,12,1
Spanish Conquest of Portugal,"Spain-Portugal, 1579-81",,2,4000,4000,1579,,,1581,5,,3,2,157,,,2
Seventh Huguenot War,"France (Huguenots), 1580",,2,,800,1580,4,,1580,11,26,3,2,158,,7,0
,"China (minority in Liaoning), 1580",710,2,,750,1580,3,,1580,8,,12,2,158,,5,0
,"China (minority in Guangxi), 1580",710,2,,16900,1580,4,,1580,4,,12,2,158,,0,0
,"Japan (warlords in Takaamakami ), 1580-82",740,2,,600,1580,3,,1582,2,,12,2,158,,23,2
,"China (Liaoning), 1582",710,2,,3300,1582,,,1582,,,12,2,158,,,0
Ottoman War,"Poland-Turkey, 1583-90",,2,,2400,1583,,,1590,,,4,2,158,,,7
,"China (Tartars in Liaoning), 1585-86",710,2,,1800,1585,3,,1586,4,,12,2,158,,13,1
,"China (minority in Sichuan), 1585-86",710,2,,3000,1585,,,1586,11,,12,2,158,,,1
,"Moghuls-Kashmir, Sind, Orissa, Baluchistan, 1586-95",,5,,40000,1586,,,1595,,,10,2,158,,,9
War of the Armada,"England-Spain, 1587-1604",,2,,48000,1587,4,19,1604,8,18,3,2,158,6239,208,17
,"Emperor-Poland, 1587-88",,2,,8000,1587,,,1588,,,4,2,158,,,1
,"Zimba-Tanzania, Kenya, Portugal, 1587-88",,4,,3000,1587,,,1588,,,8,2,158,,,1
,"Savoy-France, 1588",,2,,400,1588,,,1588,,,3,2,158,,,0
Savoyard Invasion of Switzerland,"Savoy-Geneva, 1588-89",,2,,6300,1588,,,1589,,,3,2,158,,,1
,"Persia-Uzbeks, 1588-98",,2,,4000,1588,,,1598,8,9,9,2,158,,,10
,"Spain-Netherlands, 1589-1607",,2,,98000,1589,,,1607,,,3,2,158,,,18
Ninth War of Religion,"France (with intervention by Spain), 1589-98",,3,,17000,1589,8,,1598,3,20,3,2,158,,103,9
,"China (Tartars in Liaoning), 1589-91",710,2,,2280,1589,3,,1591,3,,12,2,158,,24,2
Russo-Swedish War,"Russia, Lithuania-Sweden, 1590-95",,3,,4800,1590,,,1595,11,,4,2,159,,,5
,"Poland (Confederation and Sapolski), 1590",,2,,2500,1590,,,1590,,,4,2,159,,,0
,"Crimean Tartars-Muscovy, 1591-98",,2,,1200,1591,,,1598,,,4,2,159,,,7
Hungarian War,"Turkey, Tartars-emperor, pope, 1593-1606",,4,,90000,1593,7,4,1606,11,11,4,2,159,4807,160,13
O'Neill's Rebellion (Tyrone's Rebellion),"England (Ireland, with intervention by Spain in 1601), 1594-1603",,3,,5000,1594,6,,1603,3,30,3,2,159,,105,9
,"China (Tartars in Shenxi and Ningxia), 1594-96",710,2,,1440,1594,7,,1596,3,,12,2,159,,20,2
,"China (Tartars in Liaoning), 1594",710,2,,200,1594,10,,1594,10,,12,2,159,,0,0
,"China (Guizhou), 1594-96?",710,2,,20000,1594,10,,1596,6,,12,2,159,,20,2
,"Poland (Cossacks of Nalivaiko), 1596",,2,,2000,1596,,,1596,,,4,2,159,,,0
,"Poland (Cossacks of Sagaidatchny), 1597-99",,2,,6000,1597,,,1599,,,4,2,159,,,2
,"Japan-Korea, China (in Korea), 1597-99",,3,,10000,1597,1,13,1599,11,,12,2,159,,34,2
,"China (Tartars in Gansu), 1598",710,2,,1900,1598,1,,1598,2,,12,2,159,,1,0
First Polish-Swedish War for Livonia,"Poland-Sweden, 1600-11",,2,,22500,1600,,,1611,,,4,3,160,,,11
Franco-Savoian War,"France-Savoy, 1600-01",,2,,3300,1600,8,6,1601,1,17,3,3,160,161,5,1
Mitsunori rebellion,"Japan (Gifu ken), 1600",740,5,,5000,1600,9,15,1600,9,16,12,3,160,1,0,0
,"Emperor-Transylvania (protestants), 1601-04",,2,,13000,1601,,,1604,,,4,3,160,,,3
Savoyard Invasion of Switzerland,"Savoy, Spain-Geneva, 1602",,3,,900,1602,,,1602,12,,3,3,160,,,0
Russian Civil War,"Muscovy (with intervention by Poland, Sweden, Cossacks), 1604-13",,5,,27000,1604,,,1613,,,4,3,160,,,9
,"Poland (Cossacks of Sagaidatchny), 1605",,2,,2250,1605,,,1605,,,4,3,160,,,0
,"Poland-Crimean Tartars, 1605",,2,,750,1605,,,1605,,,4,3,160,,,0
Revolt of Zybrzidowski,"Poland (Gentry), 1606-09",,2,,12250,1606,,,1609,,,4,3,160,,,3
Russo-Polish War,"Poland-Russia, 1608-12",,2,,10000,1608,,,1612,,,4,3,160,,,4
Ottoman War,"Spain-Turkey, 1610-14",,2,,5000,1610,,,1614,,,4,3,161,,,4
Russo-Swedish War,"Sweden-Russia, 1613-17",,2,,8000,1613,,,1617,2,27,4,3,161,,,4
Spanish-Savoian War,"Italy (Venice?)-Spain, 1613-17",,2,,2000,1613,,,1617,,,3,3,161,,,4
,"Japan (Osaka), 1614-15",740,3,,18350,1614,10,1,1615,5,8,12,3,161,217,7,1
Savoian War,"Savoy-Spain, 1615-17",,2,,2250,1615,,,1617,,,3,3,161,,,2
Austro-Venetian War,"Venice (aided by United Provinces)-Uskoks, Austria (Styria), 1615-18",,4,,6000,1615,,,1618,,,3,3,161,,,3
,"Poland-Turkey, Tartars, 1616-17",,3,,9000,1616,,,1617,,,4,3,161,,,1
,"Russia-Poland, 1617-18",,2,,8000,1617,,,1618,12,1,4,3,161,,,1
Spanish-Venetian War,"Spain-Venice, 1617-21",,2,,5000,1617,,,1621,,,3,3,161,,,4
Thirty Years' War,"Thirty Years' War, 1618-48",,,2073000,8000000,1618,7,,1648,10,24,3,3,161,,363,30
Bohemian War (Thirty Years War),"Emperor, Bavaria, Spain, Sax-Boh, Silesia, Moravia, Palatinate, Transylvania, 1618-22",,9,,250000,1618,7,,1622,6,20,3,3,161,,47,4
Spanish-Turkish War,"Spain-Turkey, 1618-19",,2,,2000,1618,,,1619,,,4,3,161,,,1
,"Portugal-Ndongo (Angola), 1618",,2,,94,1618,,,1618,,,8,3,161,,,0
Bethlen-Gabor War,"Emperor-Transylvania, 1619-27",,2,,10000,1619,,,1627,,,4,3,161,,,8
,"China (Ming)-Jin (Jilin), 1619",,2,,47870,1619,3,,1619,3,,12,3,161,,0,0
Polish-Turkish War,"Poland, Moldavians, Cossacks-Turkey, Tartars, 1620-21",,5,,7500,1620,9,20,1621,10,9,4,3,162,379,13,1
First Bearnese Revolt,"France (Huguenots), 1621-22",,2,,1600,1621,2,,1622,10,18,3,3,162,,20,1
Dutch-Spanish War (Eighty Years War),"Spain-United Provinces, 1621-48",,2,,424500,1621,8,,1648,1,30,3,3,162,,317,27
,"Powhatans-British settlers (Virginia), 1622",,2,,347,1622,3,22,1622,3,22,1,3,162,0,0,0
,"France, Savoy, Venice, England-Spain, emperor, Genoa (Valtellina), 1624-26",,7,,1900,1624,1,,1626,3,26,3,3,162,,26,2
Spanish-English War,"England-Spain, 1624-30",,2,,6000,1624,3,10,1630,11,,3,3,162,,80,6
Danish War (Thirty Years' War),"Denmark, Brunswick, Saxe-Weimar, Mecklenburg, emperor, Spain, Bavaria, 1625-29",,8,,825000,1625,7,,1629,6,7,3,3,162,,47,4
,"Turkey, Tartars-Poland, Hungary, 1625-27, 1631-34",,4,,1800,1625,,,1634,,,4,3,162,,,9
Second Bearnese Revolt,"France (Huguenots), 1625-26",,2,,800,1625,,,1626,,,3,3,162,,,1
Swedish-Prussian War,"Sweden-Prussia, Poland, 1625-29",,3,,9000,1625,7,,1629,10,5,4,3,162,,51,4
Third Bearnese Revolt,"France (Huguenots, with intervention by England), 1627-29",,3,,3450,1627,3,,1629,6,,3,3,162,,27,2
,"China (Ming)-Houjin (Liaoning, Hebei), 1627-29",,2,,28875,1627,,,1629,,,12,3,162,,,2
War of Mantuan Succession,"Savoy, Spain, emperor-Mantua, France, 1628-31",,5,,7800,1628,,,1631,4,6,3,3,162,,,3
,"Poland (Cossacks of Taras), 1628",,2,,2250,1628,,,1628,,,4,3,162,,,0
,"Tumed-Caqars (China), 1629",710,2,,3000,1629,,,1629,,,12,3,162,,,0
,"Portugal-Kenya (muslims), 1631-32",,2,,250,1631,8,,1632,3,19,8,3,163,,7,1
,"Russia-Buryats (central Siberia), 1631",,2,,40,1631,,,1631,,,9,3,163,,,0
,"China (Ming)-Houjin (Liaoning, Hebei), 1631-41",,2,,53783,1631,,,1641,,,12,3,163,,,10
Russo-Polish War,"Russia-Poland, 1632-34",,2,,16050,1632,9,,1634,2,,4,3,163,,17,2
,"Crimean Tartars-Russia, 1632-41",,2,,3000,1632,,,1641,,,4,3,163,,,9
French War (Thirty Years' War) in Germany,"France, Savoy, Parma-Spain, emperor, Bavaria, Brandenburg, Saxony, 1635-48",,8,,130300,1635,5,19,1648,10,24,3,3,163,4835,161,13
Franco-Spanish War,"France-Spain (with British intervention), 1635-59",,3,,108000,1635,5,19,1648,10,24,3,3,163,4835,161,13
Croquant Rebellion,"France, 1636-37",,2,,2000,1636,,,1637,6,1,3,3,163,,,1
Pequot War,"British settlers-Pequots (Massachusetts), 1637",,2,0,1000,1637,,,1637,5,,1,3,163,,,0
Cossack Revolt,"Poland (Cossacks of Pavluk), 1637",,2,,2250,1637,,,1637,,,4,3,163,,,0
Shimabara Rebellion,"Japan (Nagasaka and Kumamoto kens), 1637-38",740,2,,13000,1637,10,25,1638,2,28,12,3,163,123,4,1
,"Poland (Cossacks of Ostraniitza), 1638",,2,,2250,1638,,,1638,,,4,3,163,,,0
First Bishop's War,"England (Scotland), 1639",,2,,400,1639,3,,1639,6,18,3,3,163,,3,0
Nu-Pied Rebellion,"France (Normandy), 1639",,2,,200,1639,8,,1639,12,,3,3,163,,4,0
Second Bishop's War,"England (Scotland), 1640",,2,,400,1640,8,20,1640,,,3,3,164,,,0
Great Irish Rebellion,"England (Ireland), 1641-49",,2,,4800,1641,10,23,1649,,,3,3,164,,,8
First English Civil War,"England, 1642-46",,2,,30000,1642,8,22,1646,6,25,3,3,164,1383,46,4
,"Ireland (Donalds), Highland Scots-Scotland (Campbells and Covenanters), 1644-46",,4,,13000,1644,9,1,1646,2,,3,3,164,,17,2
,"China (Ming)-Qing (Jiangsu, Zhejiang, Fujian), 1644-62",,2,,817000,1644,,,1662,,,12,3,164,,,18
Turkish War with Venice over Crete,"Turkey-Venice (assisted by France, German states) (Crete), 1645-69",,2,,100000,1645,8,,1669,9,6,4,3,164,,289,24
,"Portugal-Imbangala (Angola), 1645",,2,260,260,1645,2,,1645,,,8,3,164,,,0
,"Russia-China, Korea (Amur), 1647-58",,3,,10000,1647,,,1658,,,9,3,164,,,11
Second English Civil War,"England (with Scottish involvement), 1648-51",,3,,3000,1648,3,,1648,8,19,3,3,164,,5,0
Le Fronde,"France, 1648-53",,2,,11250,1648,8,26,1653,2,6,3,3,164,1600,54,5
Cossack Rebellion,"Poland (Cossacks in Ukraine supported by Tartars), 1648-49",,3,54000,200000,1648,,,1649,,,4,3,164,,,1
Dutch-Portuguese War in West Africa,"Portugal-United Provinces, Kongo, Matambo (Angola), 1648",,4,,3000,1648,,,1648,8,24,8,3,164,,,0
Mogul-Persian War (Wars of Aurangzeb),"Persia, Turkey-Moguls (India), 1648-53",,3,,1000,1648,,,1653,,,9,3,164,,,5
Cromwell's Irish Campaign,"England (Ireland), 1649-52",,2,,3000,1649,9,,1652,5,,3,3,164,,32,3
Cromwell's Scottish Campaign,"England (Scotland), 1650-52",,2,,5000,1650,4,,1652,5,,3,3,165,,25,2
,"Russia-Dahurs, Juchers, Manchus (Amur), 1650-51",,4,,686,1650,,,1651,,,9,3,165,,,1
,"Poland (Cossacks) (with intervention by Tatars), 1651-54",,3,,80000,1651,7,1,1654,5,,4,3,165,,34,3
First Anglo-Dutch War,"United Provinces-England, 1652-53",,2,,26040,1652,5,19,1653,7,31,3,3,165,432,14,1
First Russo-Polish War,"Russia, Cossacks-Poland, 1654-56",,3,,8000,1654,,,1656,,,4,3,165,,,2
Anglo-Spanish War (West Indies),"England-Spain (West Indies), 1655-57",,2,,7500,1655,5,,1657,,,1,3,165,,,2
,"Brandenburg-Poland, 1655-56",,2,,540,1655,10,,1656,1,,4,3,165,,3,1
First Northern War,"Sweden-Denmark, Austria, Poland, Tartars, Russia, Transylvania (with Dutch and English intervention), 1655-61",,7,,30000,1655,7,27,1661,6,21,4,3,165,2124,71,6
Anglo-Spanish War (Europe),"England, France, Lorraine-Spain, Savoy, 1656-59",,5,,16650,1656,,,1659,11,7,3,3,165,,,3
War of the Polish Auxiliaries,"Transylvania-Poland, Tartars, 1657",,3,,9600,1657,2,,1657,8,,4,3,165,,6,0
,"Sweden-Russia, 1657-58",,2,8000,8000,1657,,,1658,,,4,3,165,,,1
Dutch War with Portugal,"United Provinces-Portugal, 1657-61",,2,,4000,1657,,,1661,8,6,3,3,165,,,4
Portuguese-Spanish War,"Portugal (with British assistance)-Spain, 1657-65",,3,,73440,1657,,,1665,6,,3,3,165,,,8
Second Russo-Polish War,"Russia, Cossacks-Poland, Tartars, 1658-67",,4,,38000,1658,,,1667,1,20,4,3,165,,,9
,"Russia-China (Amur), 1658",,2,,150,1658,,,1658,,,9,3,165,,,0
,"China (Qing)-South Ming (Burma), 1661",,2,,2000,1661,,,1661,,,11,3,166,,,0
,"Chinese-United Provinces (Formosa), 1661",,2,,1600,1661,4,,1661,12,,12,3,166,,8,0
Habsburg-Ottoman War,"Turkey-Austria (assisted by France, Spain and German states), 1663-64",,2,,20000,1662,,,1664,8,1,4,3,166,,,2
,"United Provinces-Portugal (Malabar?), 1663-69 ?",,2,,7000,1663,,,1669,,,3,3,166,,,6
Polish Civil War,"Poland (Lubomirski revolt), 1664-66",,2,,27600,1664,,,1666,,,4,3,166,,,2
Second Anglo-Dutch War,"England, Muenster-United Provinces, Denmark, France, 1665-67",,5,,37000,1665,3,4,1667,7,21,3,3,166,857,28,2
,"Spain-Algiers, Tunis, 1666-67",,3,,1500,1666,,,1667,,,6,3,166,,,1
Candian War,"Venice-Turkey (with French participation), 1667-69",,3,,5250,1667,5,,1669,9,,4,3,166,,28,2
War of the Devolution,"France-Spain (with Dutch, English, Swedish intervention), 1667-68",,2,,2000,1667,5,24,1668,5,2,3,3,166,338,12,1
Doroshenko War,"Poland (Cossacks, aided by Tartars), 1668-69",,3,,1200,1668,9,19,1669,6,19,4,3,166,270,9,1
Hungarian Magnates Revolt,"Austria (Hungarian rebellion), 1670",,2,,1000,1670,,,1670,,,4,3,167,,,0
,"Russia (Stenka Razin revolt), 1670-71",,2,,12000,1670,,,1671,12,,4,3,167,,,1
Polish-Turkish War,"Turkey, Tartars, Cossacks-Poland, 1672-73",,4,,30000,1672,6,,1673,11,11,4,3,167,,17,1
Barbary States War,"Spain-Algiers, 1672-73",,2,,1500,1672,,,1673,,,6,3,167,,,1
,"Savoy-Genoa, 1672-74",,2,,1200,1672,,,1674,,,3,3,167,,,2
Karuzen War,"Austria (Hungarian rebellion), 1672-75",,2,,4000,1672,,,1675,,,4,3,167,,,3
Third Anglo-Dutch War,"England-United Provinces, 1672-74",,2,,16200,1672,3,17,1674,2,19,3,3,167,692,23,2
Dutch War of Louis XIV,"France, Cologne, UK, Sweden-UP, Brandenburg, Spain, Austria, Germany, Denmark, 1672-78",,10,,307000,1672,5,,1678,11,5,3,3,167,,78,6
First Russo-Turkish War,"Turkey, Cossacks-Russia (Ukraine), 1677-81",,3,12000,12000,1677,,,1681,1,8,4,3,167,,,4
Thokoly's Revolt,"Austria (Hungary), 1678-83",,2,,7000,1678,,,1683,,,4,3,167,,,5
Covenanter Rising,"England (Scottish Covenanters), 1679",,2,,2000,1679,6,1,1679,6,22,3,3,167,21,0,0
Reunion War,"France-Spain, emperor, 1683-84",,3,,5000,1683,,,1684,,,3,3,168,,,1
Habsburg-Ottoman War,"Turkey, Hungary (until 1687), Transylvania-Austria, German states, Poland, Venice, Russia (from 1685), 1683-99",,8,,384000,1683,6,,1699,1,26,4,3,168,,187,16
Crimean Expedition of Prince Golitzin,"Russia-Crimean Tartars, 1687",,2,,2000,1687,,,1687,,,4,3,168,,,0
War of the Grand Alliance,"France, Savoy-Cologne, Austria, Prussia, German states, UK, UP, Spain, Savoy, 1688-97",,10,,580000,1688,9,24,1697,8,,3,3,168,,107,9
Second Crimean Expedition of Prince Golitzin,"Russia-Crimean Tartars, 1689",,2,,2000,1689,,,1689,,,4,3,168,,,0
Amur Expedition,"Russia-China (Amur), 1689",,2,,200,1689,,,1689,8,27,9,3,168,,,0
,"Spain-Algiers, 1693-94",,2,,3750,1693,,,1694,,,6,3,169,,,1
Azov Expedition,"Russia-Turkey (Azov), 1695-1700",,2,30000,30000,1695,,,1700,,,4,3,169,,,5
,"Austria-Sardinia, 1696-97",,2,,11200,1696,,,1697,,,3,3,169,,,1
,"Oman-Portugal (Mombassa, Kenya), 1696-1698",,2,2500,2500,1696,3,,1698,12,,8,3,169,,33,2
Second Northern War,"Denmark, Saxony, Poland, Russia, Prussia, Hanover, Britain-Sweden, Turkey, 1700-21",,9,800000,800000,1700,3,12,1721,8,30,4,4,170,7728,257,21
War of Spanish Succession,"Austria, UK, UP, Prussia, German, Port, Savoy-France, Spain, Bav, 1701-14",,10,,1205000,1701,2,,1714,9,11,3,4,170,,163,13
Insurrection of Camisards,"France (Cevennes, Languedoc), 1702-06",,2,,4000,1702,,,1706,,,3,4,170,,,4
Hungarian Insurrection,"Austria (Hungarian rebellion), 1703-11",,2,,43200,1703,,,1711,5,1,4,4,170,,,8
Bulavin's revolt,"Russia (Astrakhan), 1707-08",,2,,28500,1707,10,8,1708,11,4,4,4,170,386,13,1
,"India (Shiku religion rebellion), 1710-18",,2,,700,1710,,,1718,,,10,4,171,,,8
,"Russia-Turkey (Moldavia, Prut River), 1711",,2,,2000,1711,,,1711,,,4,4,171,,,0
Turkish-Venetian War,"Venice-Turkey, 1714-18",,2,,45000,1714,,,1718,7,21,4,4,171,,,4
,"Russia-Yukagirs, Koraks (Kamchatka), 1714",,3,,70,1714,,,1714,,,9,4,171,,,0
British-Swedish War,"Britain-Sweden, 1715-19",,2,,2500,1715,,,1719,11,20,3,4,171,,,4
British Civil War,"Britain (Scotland), 1715-16",,2,,1000,1715,9,6,1716,2,,3,4,171,,5,1
Revolt of the Tarnograd Confederation ?,"Poland, 1715-17",,2,,5500,1715,,,1717,,,4,4,171,,,2
Austria-Turkey War,"Austria-Turkey, 1716-18",,2,25500,25500,1716,4,13,1718,7,21,4,4,171,818,27,2
Expedition to Khiva,"Russia-Khiva, 1716-17",,2,,2000,1716,,,1717,,,4,4,171,,,1
,"China-Dzoungar Mongols (Tibet), 1716-18",,2,2000,2000,1716,,,1718,,,12,4,171,,,2
War of Quadruple Alliance,"Spain-Austria, Britain, France, United Provinces, 1717-20",,5,,28350,1717,11,,1720,2,6,3,4,171,,27,3
,"China (Qing)-Zhungeer (Tibet), 1718",,2,,13000,1718,,,1718,,,12,4,171,,,0
Russo-Persian War,"Russia-Persia, 1722-23",,2,,4000,1722,,,1723,9,12,4,4,172,,,1
,"Russia-Chukchi (eastern Siberia), 1729-31",,2,800,800,1729,,,1731,,,9,4,172,,,2
War for the Polish Throne,"France, Spain, Sardinia-Austria, Russia, Saxony, Prussia, 1733-35",,7,,85000,1733,8,14,1735,5,25,4,4,173,641,21,2
Austro-Russian-Turkish War,"Austria, Russia-Turkey, 1736-39",,3,,200000,1736,5,,1739,10,3,4,4,173,,41,3
,"China (Qing)-Miao (Guizhou, Guangxi), 1736",,2,,22600,1736,,,1736,,,12,4,173,,,0
War of Jenkins Ear,"Britain-Spain, 1739-43",,2,,26000,1739,10,8,1743,,,1,4,173,,,4
First Silesian War,"Prussia-Austria, 1740-42",,2,,23400,1740,12,16,1742,7,28,3,4,174,582,19,2
War of Austrian Succession,"Britain, Austria, United Provinces-Spain, Prussia, France, Bavaria, 1740-48",,10,,330270,1740,12,16,1748,10,18,3,4,174,2822,94,8
Russo-Swedish War,"Sweden-Russia, 1741-43",,2,10000,10000,1741,8,,1743,8,7,4,4,174,,24,2
Second Silesian War,"Prussia-Austria, 1744-45",,2,,27800,1744,8,15,1745,12,25,3,4,174,490,16,1
First Carnatic War,"France-England (India), 1744-48",,2,1580,1580,1744,3,,1748,,,10,4,174,,,4
Scotch Civil War,"Britain (Scotland), 1745-46",,2,,2500,1745,8,,1746,4,16,3,4,174,,8,1
,"Russia-Koraks (Kamchatka), 1745-56",,2,,340,1745,,,1756,,,9,4,174,,,11
Second Carnatic War,"France-England (India), 1749-54",,2,1512,1512,1749,8,,1754,,,10,4,174,,,5
French and Indian War (Seven Years' War),"Britain-France (North America), 1754-60",,2,290,290,1754,5,28,1760,9,8,1,4,175,2260,76,6
,"China-Dzoungars (northwest China), 1755-57",,2,600000,1000000,1755,,,1757,,,9,4,175,,,2
Seven Years' War,"Prussia, Britain, Portugal-France, Austria, Russia, Sweden, Savoy, Spain, 1756-63",,17,,988000,1756,8,29,1763,2,10,3,4,175,2321,78,7
Bengalese-British War,"Britain-Bengal, France, 1756-57",,2,1138,1138,1756,6,16,1757,6,23,10,4,175,367,12,1
Third Carnatic War,"France-England (India), 1758-61",,2,3079,3079,1758,3,,1761,1,16,10,4,175,,34,3
,"Britain-Dutch (Bengal), 1759",,2,330,330,1759,11,24,1759,11,25,10,4,175,1,0,0
,"United Provinces, Tamils-Kandy (Sri Lanka), 1761-65",,3,,800,1761,,,1765,,,10,4,176,,,4
,"Spain-Portugal, England, 1762",,3,,1000,1762,5,,1762,5,,3,4,176,,0,0
,"Britain-Bengalis, 1763-65",,2,10105,10105,1763,6,23,1765,5,26,10,4,176,693,23,2
,"Britain-American Indians, 1763",,2,,1000,1763,,,1763,,,1,4,176,,,0
,"Burma-China (Burma), 1765-70",,2,,20000,1765,,,1770,,,11,4,176,,,5
First Mysore War,"Mysore-Britain (India), 1766-69",,2,5345,5345,1766,,,1769,,,10,4,176,,,3
Turkish War with Russia,"Turkey, Tartars-Russia, 1768-74",,3,,28000,1768,10,,1774,7,21,4,4,176,,69,6
,"Poland (Gaidamacks in Ukraine), 1768-69",,2,,460,1768,,,1769,,,4,4,176,,,1
War of the Confederation of Bar,"Poland (with Russian, French, Turkish and Austrian intervention), 1768-72",,3,,11500,1768,,,1772,,,4,4,176,,,4
,"England-American colonists (North Carolina), 1771",,2,,300,1771,5,,1771,5,16,1,4,177,,0,0
,"China (Jinchuan in Szechuan), 1771-76",,2,,120000,1771,,,1776,,,12,4,177,,,5
Pugachev Revolt,"Russia (Pugachev revolt), 1773-74",,2,,5000,1773,9,,1774,9,,4,4,177,,12,1
Shantung Rebellion,"China (Shantung rebellion), 1774",,2,,30000,1774,9,,1774,9,,12,4,177,,0,0
War of the American Revolution,"American colonies-Britain (intervention of France), 1775-83",,5,,40000,1775,4,19,1783,2,20,1,4,177,2821,94,8
Spanish-Algerine War,"Spain-Algiers, 1775",,2,,8000,1775,7,8,1775,,,6,4,177,,,0
First British-Maratha War,"Marathas-Britain (India), 1775-82",,2,3000,3000,1775,5,18,1782,5,17,10,4,177,2519,84,7
,"France, Spain (from 1779), Holland (from 1780)-Britain, 1778-83",,4,,26000,1778,2,6,1783,9,3,3,4,177,2007,67,5
War of Bavarian Succession,"Prussia, Bavaria-Austria, Saxony, 1778-79",,4,,300,1778,7,3,1779,5,13,3,4,177,310,10,1
,"Britain-Holland, 1780-83",,2,,9000,1780,11,20,1783,2,20,3,4,178,810,27,3
Second Mysore War,"Mysore-Britain (India), 1781-84",,2,,2250,1781,,,1784,5,20,10,4,178,,,3
,"Austria (Transylvania and Wallachia), 1784-85",,3,,2000,1784,,,1785,,,4,4,178,,,1
,"Turkey (Egypt), 1786",,2,,18000,1786,,,1786,8,10,6,4,178,,,0
Second Turkish War with Russia,"Turkey-Russia, Austria, Montenegro, 1787-92",,4,,191500,1787,8,10,1792,1,9,4,4,178,1589,53,5
,"China-Annam (Vietnam), 1788-89",,2,,30000,1788,,,1789,,,11,4,178,,,1
Swedish Invasion of Russia,"Sweden-Russia, Denmark, 1788-90",,3,,90000,1788,6,,1790,8,14,4,4,178,,26,2
Brabant Revolt,"Austrian Netherlands (Brabant), 1789-90",,2,,4000,1789,12,,1790,12,,3,4,178,,12,1
Third Mysore War,"Mysore-Britain (South Africa), 1789-92",,2,,28000,1789,,,1792,2,5,10,4,178,,,3
Maumee War,"Maumee-USA, 1790-94",,2,,17000,1790,,,1794,,,1,4,179,,,4
Fulani War,"Fulani-Hausa (Nigeria), 1790-1801",,2,,60000,1790,,,1801,,,7,4,179,,,11
Wars of the French Revolution,"Wars of the French Revolution, 1791-1802",,,649000,1915000,1791,,,1802,3,20,3,4,179,,,11
Revolt of Toussaint L'Overture,"Haiti-France, Spain, 1791-1795",,3,,35000,1791,8,22,1795,4,5,1,4,179,1303,44,4
French Revolutionary War of the First Coalition,"France-Austria, Prussia, Spain, Sardinia, Holland, Naples, 1792-1798",,6,,330800,1792,4,20,1798,,,3,4,179,,,6
Polish Insurrection,"Russia, Prussia-Poland, 1792-93",,3,,31080,1792,5,19,1793,5,7,4,4,179,348,12,1
French Revolutionary War with England,"France-England, 1793-1800",,2,,77840,1793,2,1,1800,9,5,3,4,179,2734,91,7
Vendee Revolt,"France (Vendee revolt, Reign of Terror), 1793-94",,2,,58000,1793,3,26,1794,,,3,4,179,,,1
